config_name,read,bitstring,energy,is_optimum,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
steps_100_T10_to_001,74,100100010001,32.0,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
steps_100_T10_to_001,75,010100100100,43.5,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",24,8.0,10.5,1.0,43.5,0,0,0,0,43.5
steps_100_T10_to_001,76,001001010100,26.299999999999997,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",19,2.5,2.8,2.0,26.3,0,0,0,0,26.3
steps_100_T10_to_001,77,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,78,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_100_T10_to_001,79,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,80,100100100100,48.400000000000006,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",22,9.5,11.899999999999999,0.0,43.4,0,0,5,5,48.4
steps_100_T10_to_001,81,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,82,001001100100,34.400000000000006,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
steps_100_T10_to_001,83,001001010100,26.299999999999997,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",19,2.5,2.8,2.0,26.3,0,0,0,0,26.3
