bitstring,bitstring_tuple,bitstring_excel,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
001000010010,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0)","=""001000010010""",False,"{'O11': ['M'], 'O12': [], 'O21': ['R'], 'O22': ['R']}",16,0.0,0.0,2.0,18.0,20,20,5,45,63.0
010001000010,"(0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0)","=""010001000010""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': [], 'O22': ['R']}",17,0.0,0.0,1.0,18.0,20,20,5,45,63.0
100000100010,"(1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0)","=""100000100010""",False,"{'O11': ['H'], 'O12': [], 'O21': ['H'], 'O22': ['R']}",16,3.5,3.5,0.0,23.0,20,20,0,40,63.0
001000110001,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1)","=""001000110001""",False,"{'O11': ['M'], 'O12': [], 'O21': ['H', 'R'], 'O22': ['M']}",17,2.0,2.0999999999999996,2.0,23.1,40,0,0,40,63.1
010100000000,"(0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","=""010100000000""",False,"{'O11': ['R'], 'O12': ['H'], 'O21': [], 'O22': []}",13,3.5,5.6,1.0,23.1,40,0,0,40,63.1
100000000100,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","=""100000000100""",False,"{'O11': ['H'], 'O12': [], 'O21': [], 'O22': ['H']}",10,4.0,4.199999999999999,0.0,18.2,40,0,5,45,63.2
100010000100,"(1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0)","=""100010000100""",False,"{'O11': ['H'], 'O12': ['R'], 'O21': [], 'O22': ['H']}",15,4.0,4.199999999999999,0.0,23.2,20,20,0,40,63.2
100100010101,"(1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1)","=""100100010101""",False,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H', 'M']}",24,7.5,9.799999999999999,2.0,43.3,20,0,0,20,63.3
001100001100,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0)","=""001100001100""",False,"{'O11': ['M'], 'O12': ['H'], 'O21': ['M'], 'O22': ['H']}",24,6.0,8.399999999999999,0.0,38.4,0,20,5,25,63.4
100001001010,"(1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0)","=""100001001010""",False,"{'O11': ['H'], 'O12': ['M'], 'O21': ['M'], 'O22': ['R']}",21,1.5,1.4,0.0,23.9,0,40,0,40,63.9
101001000001,"(1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1)","=""101001000001""",False,"{'O11': ['H', 'M'], 'O12': ['M'], 'O21': [], 'O22': ['M']}",16,1.5,1.4,0.0,18.9,40,0,5,45,63.9
001001011001,"(0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1)","=""001001011001""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R', 'M'], 'O22': ['M']}",22,0.0,0.0,2.0,24.0,20,20,0,40,64.0
010001010010,"(0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0)","=""010001010010""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['R']}",21,0.0,0.0,3.0,24.0,0,20,20,40,64.0
110100010001,"(1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1)","=""110100010001""",False,"{'O11': ['H', 'R'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",24,5.0,7.0,3.0,39.0,20,0,5,25,64.0
000100000001,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1)","=""000100000001""",False,"{'O11': [], 'O12': ['H'], 'O21': [], 'O22': ['M']}",10,3.5,5.6,0.0,19.1,40,0,5,45,64.1
001001110000,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0)","=""001001110000""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H', 'R'], 'O22': []}",18,2.0,2.0999999999999996,2.0,24.1,40,0,0,40,64.1
011000100001,"(0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1)","=""011000100001""",False,"{'O11': ['R', 'M'], 'O12': [], 'O21': ['H'], 'O22': ['M']}",19,2.0,2.0999999999999996,1.0,24.1,40,0,0,40,64.1
100101100001,"(1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1)","=""100101100001""",False,"{'O11': ['H'], 'O12': ['H', 'M'], 'O21': ['H'], 'O22': ['M']}",23,7.0,9.1,0.0,39.1,20,0,5,25,64.1
010100100010,"(0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0)","=""010100100010""",False,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['R']}",25,5.5,7.699999999999999,1.0,39.2,0,20,5,25,64.2
000001010101,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1)","=""000001010101""",False,"{'O11': [], 'O12': ['M'], 'O21': ['R'], 'O22': ['H', 'M']}",17,2.5,2.8,2.0,24.3,40,0,0,40,64.3
010000001100,"(0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0)","=""010000001100""",False,"{'O11': ['R'], 'O12': [], 'O21': ['M'], 'O22': ['H']}",18,2.5,2.8,1.0,24.3,20,20,0,40,64.3
100101010100,"(1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0)","=""100101010100""",False,"{'O11': ['H'], 'O12': ['H', 'M'], 'O21': ['R'], 'O22': ['H']}",25,7.5,9.799999999999999,2.0,44.3,20,0,0,20,64.3
100000010010,"(1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0)","=""100000010010""",False,"{'O11': ['H'], 'O12': [], 'O21': ['R'], 'O22': ['R']}",15,1.5,1.4,2.0,19.9,20,20,5,45,64.9
011001001001,"(0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1)","=""011001001001""",False,"{'O11': ['R', 'M'], 'O12': ['M'], 'O21': ['M'], 'O22': ['M']}",24,0.0,0.0,1.0,25.0,20,20,0,40,65.0
